"","Ageneotettix deorum","Arphia crassa","Aulocara femoratum","Boopedon nubilum","Campylacantha olivacea","Cordillacris crenulata","Dactylotum variegatum","Eritettix variabilis","Leprus cyaneus","Melanoplus arizonae","Melanoplus desultorius","Melanoplus gladstoni","Melanoplus glaucipes","Melanoplus lakinus","Opeia obscura","Philbostroma quadrimaculatum","Phoetaliotes nebrascensis","Psoloessa texana","Syrbula fuscovittata","Trachyrachys kiowa","Trimerotropis pallidipennis","Tropidolophus formosus"
"Aristida hamulosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bouteloua curtipendula",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bouteloua gracilis",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"Bouteloua hirsuta",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buchloe dactyloides",1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
"Calyophus hartwegii",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Condalia ericoides",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Convolvulus equitans",0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
"Conyza coulteri",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Croton pottsii",1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1
"Cryptantha mexicana",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dyschoriste linearis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Eragrostis intermedia",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"Eupatorium greggii",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gaura coccinea",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Gilia rigida",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Hoffmannseggia glauca",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Iva dealbata",0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"Leptaloma cognata",1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0
"Linum rigidum",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Machaeranthera scabrella",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Muhlenbergia sp1 A_PH_004",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Oenothera sp1 A_PH_004",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panicum obtusum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Polygala longa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Prosopis glandulosa",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ratibida columnaris",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Scleropogon brevifolius",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0
"Setaria leucopila",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sporobolus sp1 A_PH_004",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Unidentified sp1 A_PH_004",0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"Unidentified sp10 A_PH_004",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Unidentified sp11 A_PH_004",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp12 A_PH_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Unidentified sp13 A_PH_004",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Unidentified sp14 A_PH_004",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp15 A_PH_004",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Unidentified sp16 A_PH_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Unidentified sp17 A_PH_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Unidentified sp2 A_PH_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Unidentified sp3 A_PH_004",0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"Unidentified sp4 A_PH_004",0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"Unidentified sp5 A_PH_004",0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"Unidentified sp6 A_PH_004",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"Unidentified sp7 A_PH_004",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 A_PH_004",1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Unidentified sp9 A_PH_004",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Verbena wrightii",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Xanthocephalum sp1 A_PH_004",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xanthocephalum texanum",0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"Zinnia grandiflora",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Ziziphus obtusifolius",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
